7/23/2019,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",HAND GUN,34.2761,-118.4084
7/2/2019,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",HAND GUN,34.2676,-118.4357
5/19/2019,ROBBERY,HAND GUN,34.0444,-118.3274
8/23/2019,ROBBERY,REVOLVER,34.057,-118.2691
8/7/2019,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",CLUB/BAT,34.0326,-118.335
5/14/2019,ROBBERY,STRONG-ARM ,34.1753,-118.6057
9/1/2019,ROBBERY,STRONG-ARM ,33.9807,-118.3265
8/24/2019,ROBBERY,STRONG-ARM ,34.0328,-118.2915
5/30/2019,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",STRONG-ARM ,34.2355,-118.4676
9/9/2019,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",CLUB/BAT,33.9993,-118.3244
5/2/2019,ROBBERY,HAND GUN,34.1072,-118.2037
7/5/2019,ROBBERY,STRONG-ARM ,33.7839,-118.2975
9/3/2019,ROBBERY,STRONG-ARM ,33.9996,-118.3002
7/28/2019,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",STRONG-ARM ,33.9746,-118.3226
6/27/2019,ROBBERY,STRONG-ARM ,34.194,-118.4225
5/26/2019,ROBBERY,STRONG-ARM ,33.9457,-118.2462
7/3/2019,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",STRONG-ARM ,33.9343,-118.2349
5/8/2019,ROBBERY,HAND GUN,34.0018,-118.2456
7/19/2019,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",HAND GUN,34.23,-118.4656
5/2/2019,ROBBERY,STRONG-ARM ,34.009,-118.2716
8/25/2019,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",STRONG-ARM ,34.0468,-118.2641
8/9/2019,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",REVOLVER,34.0236,-118.2709
9/10/2019,ROBBERY,STRONG-ARM ,34.0155,-118.2975
7/8/2019,ROBBERY,STRONG-ARM ,34.1007,-118.3494
6/8/2019,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",REVOLVER,34.2158,-118.3965
9/7/2019,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",SHOTGUN,34.0462,-118.2114
5/31/2019,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",STRONG-ARM ,34.0599,-118.4171
7/12/2019,"RAPE, FORCIBLE",STRONG-ARM ,34.0836,-118.3051
5/27/2019,ROBBERY,STRONG-ARM ,34.0109,-118.2915
7/22/2019,ROBBERY,KNIFE WITH BLADE 6INCHES OR LESS,34.0524,-118.2842
5/12/2019,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",STRONG-ARM ,34.048,-118.2577
4/27/2019,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",REVOLVER,33.9247,-118.2696
4/2/2019,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",HAND GUN,34.2751,-118.5652
7/24/2019,ROBBERY,HAND GUN,34.0345,-118.225
9/2/2019,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",STRONG-ARM ,34.0316,-118.2738
6/9/2019,ROBBERY,STRONG-ARM ,34.017,-118.3477
5/29/2019,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",STRONG-ARM ,34.0423,-118.2666
7/7/2019,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",KNIFE WITH BLADE 6INCHES OR LESS,34.0617,-118.2761
5/1/2019,ROBBERY,STRONG-ARM ,34.0123,-118.3556
5/29/2019,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",HAND GUN,34.021,-118.3002
7/9/2019,ROBBERY,STRONG-ARM ,34.0256,-118.3189
